Source,Target,Weight,Type
村上仁一P3-7,P7-1,1,Undirected
村上仁一P3-7,P7-3,1,Undirected
P9-6,石垣達也A1-1,1,Undirected
P9-6,E2-2,1,Undirected
P9-6,P9-5,1,Undirected
BenjaminP10-3,Heinzerling,1,Undirected
C6-4,ヒガ東中竜一郎C6-2,1,Undirected
C6-4,B9-4,1,Undirected
C6-4,PH4-10,1,Undirected
P3-8○,宮川創P3-6,1,Undirected
P10-15,有木 康雄Q2-15,1,Undirected
YunmengD9-4○,A10-3,1,Undirected
P9-18,高村大也P1-15,1,Undirected
P9-18,E4-3,1,Undirected
P9-18,B5-1,1,Undirected
P9-18,P5-18,1,Undirected
P9-18,中山英樹P8-21,1,Undirected
P9-18,Thien Q.B8-5○,1,Undirected
P9-18,P6-14,1,Undirected
井之上直也E1-3,P2-8,1,Undirected
井之上直也E1-3,P2-11,1,Undirected
BojanQ6-17○,Batalo,1,Undirected
Bollegala,DanushkaA4-4,1,Undirected
Bollegala,P7-11,1,Undirected
P5-15,東中竜一郎E7-2,1,Undirected
P5-15,E8-6,1,Undirected
P5-15,B9-4,1,Undirected
P5-15,B10-5,1,Undirected
Q6-25,イズ和泉 潔P2-16,1,Undirected
石垣達也H3-1,H11-1,1,Undirected
石垣達也H3-1,P12-13,1,Undirected
エバ江原広人E8-1○,E8-2,1,Undirected
P7-12,小町 守D1-1,1,Undirected
P7-12,D1-6,1,Undirected
P7-12,E6-4,1,Undirected
P7-12,P2-22,1,Undirected
P7-12,P7-9,1,Undirected
P7-12,P8-18,1,Undirected
小島 武A2-1,Q6-2,1,Undirected
山田康輔B6-4○,C9-3○,1,Undirected
P1-20○,伊藤 均P1-17,1,Undirected
PT2-4○,D3-5,1,Undirected
PH4-7,E6-5,1,Undirected
タル樽谷 洋希Q1-8,Q10-1○,1,Undirected
山崎由佳E1-2○,P2-21,1,Undirected
竹内孔一Q2-5,Q2-6,1,Undirected
竹内孔一Q2-5,C10-4,1,Undirected
スド須藤 克仁P1-11,Q3-20,1,Undirected
スド須藤 克仁P1-11,Q7-24J,1,Undirected
Q1-9,松本 裕治B6-1,1,Undirected
Q1-9,B6-2,1,Undirected
Q1-9,P6-7,1,Undirected
Q1-9,P6-8,1,Undirected
Q1-9,P6-24J,1,Undirected
