Source,Target,Weight,Type
P5-18,岡崎直観B3-3,1,Undirected
P5-18,C3-1,1,Undirected
P5-18,P4-9,1,Undirected
P5-18,B6-4,1,Undirected
P5-18,C7-3,1,Undirected
P9-4,P6-17,1,Undirected
A4-2,Sakti,1,Undirected
岡崎直観B3-3,C3-1,1,Undirected
岡崎直観B3-3,P4-9,1,Undirected
岡崎直観B3-3,B6-4,1,Undirected
岡崎直観B3-3,C7-3,1,Undirected
小川泰弘C4-1,P6-2,1,Undirected
P4-1○,栗林樹生C2-3○,1,Undirected
A5-1,C1-4,1,Undirected
C3-1,P4-9,1,Undirected
C3-1,B6-4,1,Undirected
C3-1,C7-3,1,Undirected
P6-2,C4-3,1,Undirected
B6-4,P4-9,1,Undirected
B6-4,C7-3,1,Undirected
B8-2,Ana,1,Undirected
P4-9,C7-3,1,Undirected
荒木健治A1-1,P8-13,1,Undirected
